id	N	mean	sd	se	sentence	task	reference
AC-OC-02-R0001	13	3.384615385	1.260850344	0.349696967	Chi dici che l'infermiera voglia chiamare e il dottore visitare?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0002	15	2.866666667	1.302013093	0.336178335	Sapevo che l'infermiera voleva registrare e Marco visitarlo .	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0003	15	2.466666667	0.833809388	0.215288658	Ci mostrarono il paziente che l'infermiera voleva registrare e Marco medicarlo .	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0004	14	4.857142857	1.027105182	0.274505407	Ci mostrarono l'anziano signore che l'infermiera aveva visto e il dottore medicato un malato.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0005	13	4.307692308	1.250640861	0.346865366	Ho sentito chi è che Maria ha saputo dove il ministro incontrerà.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0006	13	2.538461538	1.265924209	0.351104204	quale paziente pensi che Maria abbia chiamato e Marco visitato?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0007	12	5.166666667	1.193416283	0.344509606	Questo, lui ha suggerito che lei aveva pensato che lo studente avrebbe dovuto descriverlo.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0008	12	3.583333333	1.240112409	0.357989617	Nessuno si aspetta che qualcuno abbia già finito questo esercizio in tempo utile?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0009	15	2.666666667	1.112697281	0.287297202	Uno studente potrebbe aver mai finito questo esercizio in tempo utile?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0010	14	5.357142857	1.86494557	0.498427669	Che cos'è che Giulio ha scritto che lei aveva detto che lo studente avrebbe dovuto descrivere questo candidato?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0011	13	6.307692308	0.630425172	0.174848483	Quale problema lui ha scritto che lei aveva detto che costui avrebbe dovuto descrivere questo problema?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0012	15	4.066666667	1.162919151	0.300264434	Chi dici che l'infermiera abbia chiamato un uomo e il dottore medicato l'anziano signore?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0013	14	4	1.109400392	0.296499727	Sapevo che l'infermiera aveva registrato un uomo e Marco medicato .	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0014	14	4.785714286	1.42389344	0.380551529	Ho sentito chi è che Maria ha saputo perché il ministro incontrerà.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0015	14	3.785714286	1.311403912	0.350487438	Chi dici che l'infermiera abbia registrato un uomo e Marco visitato?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0016	14	2.5	1.951330907	0.521515122	Maria ha saputo quando Carlo darà il premio ai dottori.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0017	15	2.266666667	1.334523279	0.344572429	Questo problema, Carla dovrebbe considerare.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0018	14	3.785714286	1.368804724	0.365828451	Conoscevo il paziente che l'infermiera voleva chiamare e il dottore medicarlo.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0019	15	4.933333333	1.162919151	0.300264434	Nessuno si aspetta che qualcuno abbia finito alcunchè in così poco tempo?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0020	12	3.666666667	1.775250729	0.512470743	quale paziente dici che Maria abbia registrato e il dottore visitato?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0021	14	2.428571429	1.949922512	0.521138712	Chi è che lei dovrebbe descrivere?	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0022	14	4.428571429	1.089409559	0.291156952	Ci mostrarono il paziente che Maria voleva registrarlo e Marco testare .	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0023	15	3.333333333	1.5430335	0.398409536	Ci mostrarono il paziente che Maria aveva visto un paziente e il dottore visitato.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0024	13	3.615384615	1.609268029	0.446330646	Ho sentito che Maria ha saputo perché Carlo prenderà questo provvedimento.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0025	15	3.933333333	1.579632266	0.407859297	Conoscevo il paziente che Maria voleva registrarlo e Marco medicare.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0026	13	3.538461538	1.391365314	0.385895306	Ci mostrarono l'anziano signore che l'infermiera voleva vederlo e il dottore medicarlo.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0027	15	3.6	1.242118007	0.32071349	Ho sentito a chi è che Maria ha saputo dove il ministro darà il premio .	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0028	14	3.571428571	1.504571787	0.402113724	Questo candidato, il professore ha detto che lo studente avrebbe dovuto descriverlo.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0029	14	4.214285714	1.805060043	0.482422589	Nessuno studente si aspetta che un altro studente abbia già finito questo esercizio in tempo utile.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0030	15	2.666666667	0.975900073	0.251976315	Ci mostrarono il paziente che Maria voleva registrare e Marco testare.	complexity	Artif_Data:_chowdhury_zamparelli_2018
AC-OC-02-R0031	14	4.142857143	1.231455852	0.32912042	quale paziente pensi che Maria voglia chiamarlo e Marco medicarlo?	complexity	Artif_Data:_chowdhury_zamparelli_2018
